,name,code,sector,series_id,units,year,value,source
371,"Petroleum Coke Industrial Sector CO2 Emissions, Annual",PCICEUS,Industrial,TOTAL.PCICEUS.A,Million Metric Tons of Carbon Dioxide,2015,64.702,Petroleum Coke
372,"Petroleum Coke Industrial Sector CO2 Emissions, Annual",PCICEUS,Industrial,TOTAL.PCICEUS.A,Million Metric Tons of Carbon Dioxide,2014,63.755,Petroleum Coke
373,"Petroleum Coke Industrial Sector CO2 Emissions, Annual",PCICEUS,Industrial,TOTAL.PCICEUS.A,Million Metric Tons of Carbon Dioxide,2013,64.705,Petroleum Coke
374,"Petroleum Coke Industrial Sector CO2 Emissions, Annual",PCICEUS,Industrial,TOTAL.PCICEUS.A,Million Metric Tons of Carbon Dioxide,2012,69.906,Petroleum Coke
375,"Petroleum Coke Industrial Sector CO2 Emissions, Annual",PCICEUS,Industrial,TOTAL.PCICEUS.A,Million Metric Tons of Carbon Dioxide,2011,64.647,Petroleum Coke
376,"Petroleum Coke Industrial Sector CO2 Emissions, Annual",PCICEUS,Industrial,TOTAL.PCICEUS.A,Million Metric Tons of Carbon Dioxide,2010,67.913,Petroleum Coke
377,"Petroleum Coke Industrial Sector CO2 Emissions, Annual",PCICEUS,Industrial,TOTAL.PCICEUS.A,Million Metric Tons of Carbon Dioxide,2009,73.412,Petroleum Coke
414,"Petroleum, Excluding Biofuels, Industrial Sector CO2 Emissions, Annual",PMICEUS,Industrial,TOTAL.PMICEUS.A,Million Metric Tons of Carbon Dioxide,2018,358.245,Petroleum
415,"Petroleum, Excluding Biofuels, Industrial Sector CO2 Emissions, Annual",PMICEUS,Industrial,TOTAL.PMICEUS.A,Million Metric Tons of Carbon Dioxide,2017,351.723,Petroleum
416,"Petroleum, Excluding Biofuels, Industrial Sector CO2 Emissions, Annual",PMICEUS,Industrial,TOTAL.PMICEUS.A,Million Metric Tons of Carbon Dioxide,2016,345.211,Petroleum
417,"Petroleum, Excluding Biofuels, Industrial Sector CO2 Emissions, Annual",PMICEUS,Industrial,TOTAL.PMICEUS.A,Million Metric Tons of Carbon Dioxide,2015,340.366,Petroleum
418,"Petroleum, Excluding Biofuels, Industrial Sector CO2 Emissions, Annual",PMICEUS,Industrial,TOTAL.PMICEUS.A,Million Metric Tons of Carbon Dioxide,2014,339.221,Petroleum
419,"Petroleum, Excluding Biofuels, Industrial Sector CO2 Emissions, Annual",PMICEUS,Industrial,TOTAL.PMICEUS.A,Million Metric Tons of Carbon Dioxide,2013,351.521,Petroleum
420,"Petroleum, Excluding Biofuels, Industrial Sector CO2 Emissions, Annual",PMICEUS,Industrial,TOTAL.PMICEUS.A,Million Metric Tons of Carbon Dioxide,2012,349.601,Petroleum
421,"Petroleum, Excluding Biofuels, Industrial Sector CO2 Emissions, Annual",PMICEUS,Industrial,TOTAL.PMICEUS.A,Million Metric Tons of Carbon Dioxide,2011,339.871,Petroleum
422,"Petroleum, Excluding Biofuels, Industrial Sector CO2 Emissions, Annual",PMICEUS,Industrial,TOTAL.PMICEUS.A,Million Metric Tons of Carbon Dioxide,2010,341.985,Petroleum
423,"Petroleum, Excluding Biofuels, Industrial Sector CO2 Emissions, Annual",PMICEUS,Industrial,TOTAL.PMICEUS.A,Million Metric Tons of Carbon Dioxide,2009,327.021,Petroleum
460,"Residual Fuel Oil Industrial Sector CO2 Emissions, Annual",RFICEUS,Industrial,TOTAL.RFICEUS.A,Million Metric Tons of Carbon Dioxide,2018,3.145,Residual Fuel
461,"Residual Fuel Oil Industrial Sector CO2 Emissions, Annual",RFICEUS,Industrial,TOTAL.RFICEUS.A,Million Metric Tons of Carbon Dioxide,2017,3.418,Residual Fuel
462,"Residual Fuel Oil Industrial Sector CO2 Emissions, Annual",RFICEUS,Industrial,TOTAL.RFICEUS.A,Million Metric Tons of Carbon Dioxide,2016,3.588,Residual Fuel
463,"Residual Fuel Oil Industrial Sector CO2 Emissions, Annual",RFICEUS,Industrial,TOTAL.RFICEUS.A,Million Metric Tons of Carbon Dioxide,2015,2.317,Residual Fuel
464,"Residual Fuel Oil Industrial Sector CO2 Emissions, Annual",RFICEUS,Industrial,TOTAL.RFICEUS.A,Million Metric Tons of Carbon Dioxide,2014,2.777,Residual Fuel
465,"Residual Fuel Oil Industrial Sector CO2 Emissions, Annual",RFICEUS,Industrial,TOTAL.RFICEUS.A,Million Metric Tons of Carbon Dioxide,2013,3.301,Residual Fuel
